ID,STAR,RA,DEC,GAL,SpC,TIC,AVECROWD,MK,JK,BR,RUWE,TEFF,e_TEFF,SLOGL,IQR,e_IQR,PSI,e_PSI,SKW,e_SKW,ZCR,e_ZCR,MSP,e_MSP,MSD,e_MSD,MSC,e_MSC,MSS,e_MSS
54,LHA115-S6,11.729289583333331,-73.14281555555556,SMC,B[e]SG,180617038,,-7.936958828960993,1.1420001983642578,0.4370918273925781,1.1239999532699585,26915.348039269138,,,,,,,,,,,,,,,,,,
55,2MASSJ00470403-7306263,11.76682371499,-73.10730540184,SMC,B2I,180617051,,-5.4449582491270085,0.0019998550415039062,-0.10547828674316406,9.60200023651123,,,,,,,,,,,,,,,,,,,
56,2MASSJ00471221-7306331,11.80090183781,-73.10919769744,SMC,B1.5Ia,180617057,,-6.659958401714899,0.0670003890991211,0.05230140686035156,1.194000005722046,,,,,,,,,,,,,,,,,,,
57,2MASSJ00472815-7245166,11.86741406519,-72.75462362552,SMC,B9(II),180610309,,-3.5129580889097234,-0.4660005569458008,0.04792976379394531,1.059999942779541,,,,,,,,,,,,,,,,,,,
58,2MASSJ00473095-7259453,11.87889082679,-72.99592677336,SMC,B8(II),180610027,,-3.86395887473736,0.6319999694824219,-0.1367807388305664,0.9929999709129333,,,,,,,,,,,,,,,,,,,
59,2MASSJ00473872-7307488,11.91142071173,-73.13023665236,SMC,B3Ia,180609829,0.72153181,-6.793958226238825,0.02299976348876953,0.020569801330566406,1.1699999570846558,,,,0.006491954554803669,0.000537505024112761,0.680521547849655,0.011753499572703996,0.01251632932140911,0.0841465052539281,0.2134241078194399,0.02709057380378671,1.033619636924816,0.28615997128659765,0.1475712002238217,0.019539001214293222,0.0134575268160223,0.0019094633231480926,-0.00898537339227321,0.008457146663848098
60,2MASSJ00473889-7322539,11.91209549588,-73.38162663377,SMC,B3Ia,180616871,,-7.004958668743708,0.05800056457519531,0.14303874969482422,1.2280000448226929,,,,,,,,,,,,,,,,,,,
61,2MASSJ00475033-7314227,11.9598085775,-73.23963500226,SMC,B8I,180616968,0.86891094,-7.3349585924497624,0.08699989318847656,0.2799568176269531,1.1239999532699585,,,,0.006401873484719545,0.0009551073308102787,0.5579894859595831,0.09470331649553312,-0.04347797482138191,0.04558843824681971,0.2361562469771026,0.018215247579149524,1.530391200819545,0.025433637896149164,0.1553767115217128,0.022686242995318295,0.013640196391238,0.0014409075521642908,-0.01673718044122467,0.006711701946065623
62,2MASSJ00475542-7301121,11.9810676242,-73.02004746142,SMC,B8(II),180617669,,-4.387958088909723,-0.12400054931640625,0.06042957305908203,1.031999945640564,,,,,,,,,,,,,,,,,,,
63,2MASSJ00475847-7231417,11.99369223437,-72.52826701342,SMC,B0.5(II)e,180618173,,-4.544958630596735,0.28999996185302734,0.030452728271484375,0.9729999899864197,,,,,,,,,,,,,,,,,,,
64,2MASSJ00484405-7219158,12.18360229816,-72.32104955652,SMC,B2(II),180618332,,-4.21495870689068,-0.1659994125366211,-0.2857170104980469,1.093000054359436,,,,,,,,,,,,,,,,,,,
65,GaiaDR24685925872530280192,12.19762193099,-73.41647000964,SMC,B0IIw,180609552,,-4.507957974468805,-0.14700031280517578,-0.36418724060058594,1.1019999980926514,,,,,,,,,,,,,,,,,,,
66,2MASSJ00485183-7317388,12.21593289011,-73.29412601132,SMC,B2(II),180609658,,-3.776958027874567,-0.07800006866455078,-0.20289134979248047,1.0019999742507935,,,,,,,,,,,,,,,,,,,
67,GaiaDR34685949237159277568,12.23128843881,-73.12506815831,SMC,B3(II),180617566,,-5.120958844219782,0.01399993896484375,0.2659597396850586,1.2239999771118164,,,,,,,,,,,,,,,,,,,
68,HD4613,12.259446,65.55039,MW,B1II,285126218,0.98419972,-4.593613015490369,0.15199995040893555,0.8331804275512695,0.9430000185966492,23600.0,1300.0,3.914537861847714,0.008704259933438152,0.0016847592793461396,1.500751462315284,0.09001205044003466,-0.3464454041357442,0.6367272082850747,0.02246561210352727,0.0041466416334362075,0.7290087243034724,0.15677336692848018,0.3218950386001377,0.02623596045309944,-0.00408149859644955,0.0014517733312595657,0.0738557084608703,0.0060144189471827095
69,HD4862,12.2623744569242,-73.3613690958561,SMC,B5Ia,180609595,0.760522095,-7.910958806072809,0.029000282287597656,0.024524688720703125,1.0479999780654907,,,,0.004891089192824438,0.00039134101825766265,0.9124821657527475,0.03762071795067762,0.3109381043405083,0.12328964040950909,0.1461400399402884,0.006766168778337758,0.9054464609979433,0.08618658222767583,0.1240990682994416,0.016436003157597828,0.01220652171329573,0.0017961261201515418,-0.00196253033940583,0.0030514038361935513
70,2MASSJ00493060-7317324,12.37751122715,-73.29235793787,SMC,B8(II),180609663,,-4.330958882366755,0.1080007553100586,-0.03833198547363281,0.9670000076293945,,,,,,,,,,,,,,,,,,,
71,2MASSJ00495125-7255452,12.46363988688,-72.92923711809,SMC,B2Ia,181042827,0.9232287100000001,-7.945958653484919,0.055999755859375,0.026815414428710938,0.824999988079071,,,,0.01230554329231381,0.004969533998519182,1.485995436548772,0.2177206609759128,0.135310489814615,0.18617601964652064,0.05922366332564702,0.02490698662486436,0.4489585267493057,0.2755437558275766,0.1295030190391094,0.02660562653185268,0.005906107685771005,0.0036515909019886965,0.01283363714548569,0.021025110081278744
72,HD4694,12.472078,64.637749,MW,B3Ia,285131007,0.9881075349999999,-5.59667104725775,0.33500003814697266,1.0534114837646484,0.9649999737739563,16500.0,800.0,3.982825626822913,0.0122103538014926,0.002802786009851843,1.454614366057835,0.044340660207382365,-0.4065943767359909,0.6100417646040927,0.01186156420174447,0.001404554132031068,0.2636245233913002,0.07818501380448031,0.2014846548062726,0.021207746227699414,-0.00425464013062842,0.00023892394397703525,0.04585521996476164,0.004903668417697196
73,HD4976,12.52533362762,-73.12925101258,SMC,B8Ia+,181050536,0.8476457,-8.505958119427302,0.14400005340576172,0.2294168472290039,0.9089999794960022,,,,0.006543222785694525,0.0013933668669778854,0.9722577745842982,0.2788749841249239,0.06098876058015235,0.27238033291530617,0.1608135261340223,0.05033790903588863,0.9554092476646314,0.010370506132941604,0.2075977608972145,0.05161765285724172,0.01370038943168816,0.0027170472932308573,-0.01250791419007831,0.03672294884511243
74,2MASSJ00501125-7300260,12.54695707155,-73.00721453306,SMC,B9(II),181042812,,-3.340958157574274,-0.2560005187988281,-0.18184375762939453,2.8529999256134033,,,,,,,,,,,,,,,,,,,
75,2MASSJ00501240-7300205,12.55167147064,-73.00565988281,SMC,B9(II),181050968,,-4.509958783184626,0.16100025177001953,0.18326759338378906,1.1150000095367432,,,,,,,,,,,,,,,,,,,
76,HD4768,12.6163378171,59.67175127456,MW,B6Iae,445291280,0.98845954,-5.75244538995636,0.18499994277954102,0.5516848564147949,0.9200000166893005,,,,0.01223039740580134,0.0030769678311042027,1.509635181205815,0.10383937485514089,-0.1658217938219957,0.1374596457248236,0.007765849897137242,0.0034263261446529493,0.1731275725272571,0.050315463764884966,0.1706643004638735,0.01486782214898964,-0.00259566677083694,0.00047200936013343356,0.03909382985637208,0.003400466412173708
77,2MASSJ00502844-7209030,12.61847746965,-72.15089185008,SMC,B8I,181052003,,-5.980958500897028,-0.03299999237060547,-0.030310630798339844,1.003999948501587,,,,,,,,,,,,,,,,,,,
78,HD5030,12.63158935778,-73.47848699407,SMC,B9Ia+,180792166,0.78404814,-8.168958226238825,0.10499954223632812,0.19680213928222656,0.9589999914169312,,,,0.00236252645845525,0.0002001879911404103,0.2808051870403306,0.09177037763468598,0.02281881614634966,0.0474718306662629,0.3184718673645459,0.023189782244123575,1.385836395891343,0.17288378170349628,0.2775494726303769,0.01417089776817368,0.01563107308768199,0.0002988312424490524,-0.05482774483746175,0.004094423767542571
79,BD+61175,12.647514,62.366087,MW,B3II,285332622,0.9420750449999999,-4.659166995324252,0.3579998016357422,1.108241081237793,0.9800000190734863,17300.0,1250.0,3.6950742624824695,0.009709425386972725,0.003922571777366102,1.62202581762419,0.1498648071116493,-0.3215234359663194,0.10831973495790267,0.02408085292522448,0.01049896211297415,0.3062316288711975,0.1555541337524608,0.2049308450974806,0.039803408593966125,-0.00281146197168289,0.00080605135718938,0.04703096352074385,0.00906276004489932
80,HD5045,12.65994531429,-73.47173796307,SMC,B1Ia+,180792170,0.773212255,-7.932958165203669,0.040999412536621094,-0.03126716613769531,0.9509999752044678,,,,0.00695728586288169,0.0011237817234359682,1.147437617324142,0.10192391657801214,0.0273793199096527,0.03826167344394178,0.1000185023669722,0.022053421090632595,0.7045257174689349,0.011931594603422968,0.1092434882328768,0.01738053414851766,0.008005396396306113,0.00027326782612552584,0.012611138343171,0.006706668057113866
81,2MASSJ00504659-7308515,12.69419852693,-73.14769283989,SMC,B5(II),181050714,,-3.8379588518491765,0.14500045776367188,-0.0104522705078125,1.0089999437332153,,,,,,,,,,,,,,,,,,,
82,2MASSJ00510584-7200304,12.77427156789,-72.00850490507,SMC,B1Ia,181043961,,-5.693958798443415,-0.16300010681152344,-0.2139139175415039,0.8349999785423279,,,,,,,,,,,,,,,,,,,
83,2MASSJ00510813-7240105,12.78393001953,-72.66961219148,SMC,B0IIw,181051495,,-4.6489587221494695,-0.17799949645996094,-0.2755088806152344,0.968999981880188,,,,,,,,,,,,,,,,,,,
84,2MASSJ00512287-7315423,12.84529050645,-73.26176460464,SMC,B2Iab,181042500,,-5.565958539044001,-0.06099987030029297,-0.07303714752197266,0.8870000243186951,,,,,,,,,,,,,,,,,,,
85,2MASSJ00512314-7207210,12.84644684977,-72.12247680354,SMC,B1.5Ia,181043914,,-5.989958325420954,-0.0970001220703125,-0.18117904663085938,0.7919999957084656,,,,,,,,,,,,,,,,,,,
86,HIP4004,12.85248707419,-72.38294303299,SMC,B9Ia,181043781,,-7.733958760296442,0.04400062561035156,0.13991832733154297,0.8059999942779541,,,,,,,,,,,,,,,,,,,
87,2MASSJ00512501-7247550,12.85423433969,-72.7986238656,SMC,B2.5Iab,181043268,,-5.792958775555231,-0.06799983978271484,-0.09112930297851562,0.9300000071525574,,,,,,,,,,,,,,,,,,,
